"        עסקה","     ת.אספקה","   מספר חברה","     ת.אספקה","        סכום","     שם לקוח","        הנחה"," סטטוס כספים"," סטטוס שיווק","      מעטפות","     ת.תשלום","     א.תשלום","  אישור כספי","   עסקת סניף","       זיכוי","            ","      סוג תו","        ילקח","   שי ארגוני","        סיבה","       כתובת","        1 שי","        2 שי","        3 שי","  תיאום הפצה","      מתמשכת"
539455   ,20200831  ,905594  ,31082020  ,235715      ,"               נעמ""ת",.00    ,48  ,24  ,836    ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ," 14             יית אתא זבולון",25   ,0    ,0    ," "," "
539456   ,20200831  ,905594  ,31082020  ,301175      ,"               נעמ""ת",.00    ,48  ,24  ,1034   ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"   33            ר סבא הנביאים",25   ,0    ,0    ," "," "
539457   ,20200831  ,905594  ,31082020  ,3900        ,"               נעמ""ת",.00    ,48  ,24  ,30     ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"          אביב - יפו ארלוזורוב",25   ,0    ,0    ," "," "
539458   ,20200831  ,905594  ,31082020  ,2470        ,"               נעמ""ת",.00    ,48  ,24  ,19     ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"9          שון לציון הרב נורוק",25   ,0    ,0    ," "," "
539469   ,20200831  ,905594  ,31082020  ,314150      ,"               נעמ""ת",.00    ,48  ,24  ,1068   ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"9          שון לציון הרב נורוק",25   ,0    ,0    ," "," "
539472   ,20200831  ,905594  ,31082020  ,72955       ,"               נעמ""ת",.00    ,48  ,24  ,151    ,0         ,94   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"          אביב - יפו ארלוזורוב",25   ,0    ,0    ," "," "
539481   ,20200831  ,908333  ,31082020  ,67900       ,"איילון חברה לביטוח ב",.00    ,48  ,24  ,294    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"    12        ת גן דרך אבא הלל",25   ,0    ,0    ," "," "
539498   ,20200831  ,918564  ,31082020  ,98550       ,"מיקוד ישראל אבטחה שי",.00    ,48  ,22  ,160    ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       2              ור השקמה",25   ,0    ,0    ," "," "
539499   ,20200831  ,926502  ,31082020  ,7000        ,"  נהורא"" נדל""ן בע""מ""",.00    ,48  ,24  ,9      ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       2              ור השקמה",25   ,0    ,0    ," "," "
539500   ,20200831  ,918564  ,31082020  ,100500      ,"מיקוד ישראל אבטחה שי",.00    ,48  ,22  ,201    ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       2              ור השקמה",25   ,0    ,0    ," "," "
539542   ,20200831  ,918566  ,31082020  ,11700       ,"     מוקד מיקוד בע""מ",.00    ,48  ,22  ,16     ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       2              ור השקמה",25   ,0    ,0    ," "," "
539543   ,20200831  ,918565  ,31082020  ,60700       ,"קלינור שרותים לישראל",.00    ,48  ,24  ,93     ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       2              ור השקמה",25   ,0    ,0    ," "," "
539544   ,20200831  ,923147  ,31082020  ,46500       ,"מיקוד מן החזקות לישר",.00    ,48  ,24  ,113    ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       2              ור השקמה",25   ,0    ,0    ," "," "
539572   ,20200831  ,19335   ,31082020  ,88950       ,"  מועצה מקומית קצרין",.00    ,48  ,24  ,295    ,25082020  ,96   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"     42                רין בהט",25   ,0    ,0    ," "," "
539624   ,20200831  ,925248  ,31082020  ,15000       ,"קוג'ק שירותי שמירה ו",.00    ,48  ,24  ,60     ,0         ,6    ," "," ",0          ,0  ,9  ,"ש","שי",92  ,"         אביב - יפו דרך בן צבי",25   ,0    ,0    ,"2"," "
539625   ,20200831  ,2635    ,31082020  ,72800       ,"          זנלכל בע""מ",.00    ,48  ,24  ,197    ,26082020  ,6    ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"      5       ולה שד רבין יצחק",25   ,0    ,0    ," "," "
539656   ,20200831  ,920053  ,31082020  ,38000       ,"           חבוש בע""מ",.00    ,48  ,24  ,176    ,23082020  ,97   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      5              ימה החשמל",25   ,0    ,0    ," "," "
539711   ,20200831  ,917506  ,31082020  ,393680      ,"פריגו ישראל סוכנויות",.00    ,48  ,24  ,579    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1               הם רקפת",3    ,0    ,0    ," "," "
539712   ,20200831  ,917506  ,31082020  ,6300        ,"פריגו ישראל סוכנויות",.00    ,48  ,24  ,63     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1               הם רקפת",25   ,0    ,0    ," "," "
539713   ,20200831  ,917506  ,31082020  ,22500       ,"פריגו ישראל סוכנויות",.00    ,48  ,24  ,150    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1               הם רקפת",25   ,0    ,0    ," "," "
539714   ,20200831  ,917506  ,31082020  ,47500       ,"פריגו ישראל סוכנויות",.00    ,48  ,24  ,95     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1               הם רקפת",25   ,0    ,0    ," "," "
539716   ,20200831  ,918203  ,31082020  ,255200      ,"       כלל ביטוח בעמ",.00    ,48  ,24  ,464    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        אביב - יפו ולנברג ראול",3    ,0    ,0    ," "," "
539748   ,20200831  ,901218  ,31082020  ,10000       ,"     לשכת עורכי הדין",.00    ,48  ,24  ,52     ,0         ,32   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"           אביב - יפו דרך בגין",25   ,0    ,0    ," "," "
539757   ,20200831  ,901218  ,31082020  ,17300       ,"     לשכת עורכי הדין",.00    ,48  ,24  ,25     ,0         ,32   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"      15               פה חורב",25   ,0    ,0    ," "," "
539771   ,20200831  ,925151  ,31082020  ,240000      ,"מקפ""ת - מרכזים קהילת",.00    ,48  ,24  ,900    ,23082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ," 18            ח תקווה הפורצים",3    ,0    ,0    ,"1"," "
539810   ,20200831  ,919947  ,31082020  ,15000       ,"דין קאר עסקים כלכליי",.00    ,48  ,24  ,75     ,0         ,5    ," "," ",0          ,0  ,3  ,"ש","שי",92  ,"     1           דסיה שד הנשיא",25   ,0    ,0    ," "," "
539811   ,20200831  ,919947  ,31082020  ,1251        ,"דין קאר עסקים כלכליי",.00    ,48  ,24  ,2      ,0         ,5    ," "," ",0          ,0  ,3  ,"ש","שי",92  ,"     1           דסיה שד הנשיא",25   ,0    ,0    ," "," "
539848   ,20200831  ,922367  ,31082020  ,7350        ,"-התאחדות הספורט לבתי",.00    ,48  ,24  ,25     ,27082020  ,6    ,"כ"," ",0          ,0  ,9  ,"ש","שי",92  ,"              אביב - יפו המסגר",25   ,0    ,0    ,"1"," "
539854   ,20200831  ,909792  ,31082020  ,17400       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,50     ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539857   ,20200831  ,909792  ,31082020  ,3200        ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,7      ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539859   ,20200831  ,909792  ,31082020  ,33800       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,100    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539862   ,20200831  ,913520  ,31082020  ,53100       ,"ימיני אברהם חברה להו",.00    ,48  ,24  ,156    ,24082020  ,96   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"              ק חפר אזור תעשיה",25   ,0    ,0    ," "," "
539863   ,20200831  ,909792  ,31082020  ,80250       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,276    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539864   ,20200831  ,909792  ,31082020  ,19050       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,78     ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539865   ,20200831  ,909792  ,31082020  ,94350       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,339    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539868   ,20200831  ,909792  ,31082020  ,60450       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,192    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539871   ,20200831  ,909792  ,31082020  ,9000        ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,36     ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539878   ,20200831  ,924141  ,31082020  ,844550      ,"טכנולוגית להבים בע""מ",.00    ,48  ,24  ,1346   ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"    33        רייה דוד בן גאון",4    ,0    ,0    ," "," "
539881   ,20200831  ,909792  ,31082020  ,58575       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,117    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539883   ,20200831  ,909792  ,31082020  ,72000       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,180    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539884   ,20200831  ,909792  ,31082020  ,66000       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,117    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539885   ,20200831  ,909792  ,31082020  ,4800        ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,12     ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539886   ,20200831  ,914397  ,31082020  ,8696        ,"השירות הבולאי-ועד עו",.00    ,48  ,24  ,26     ,0         ,2    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      13        ים ברדיצ'ב אבא",25   ,0    ,0    ," "," "
539887   ,20200831  ,909792  ,31082020  ,10700       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,22     ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539888   ,20200831  ,909792  ,31082020  ,72000       ,"     משקי עמק יזרעאל",.00    ,48  ,24  ,180    ,0         ,80   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"  1            דל העמק לא ידוע",25   ,0    ,0    ," "," "
539904   ,20200831  ,36302   ,31082020  ,599700      ," אליאנס חברה לצמיגים",.00    ,48  ,24  ,2184   ,0         ,78   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1           רה פרידלנדר",4    ,0    ,0    ," "," "
539905   ,20200831  ,36302   ,31082020  ,15000       ," אליאנס חברה לצמיגים",.00    ,48  ,24  ,150    ,0         ,78   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       1           רה פרידלנדר",25   ,0    ,0    ," "," "
539927   ,20200831  ,924142  ,31082020  ,8000        ,"    פולטק-הנדסה בע""מ",.00    ,48  ,24  ,25     ,19082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"       4              פה דניאל",25   ,0    ,0    ," "," "
539934   ,20200831  ,4462    ,31082020  ,71400       ," יקבי רמת הגולן בע""מ",.00    ,48  ,24  ,106    ,25082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      1            רין לא ידוע",25   ,0    ,0    ," "," "
539938   ,20200831  ,4462    ,31082020  ,16100       ," יקבי רמת הגולן בע""מ",.00    ,48  ,24  ,26     ,26082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      1            רין לא ידוע",25   ,0    ,0    ," "," "
539940   ,20200831  ,4462    ,31082020  ,67150       ," יקבי רמת הגולן בע""מ",.00    ,48  ,24  ,83     ,27082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"     1            יפין לא ידוע",25   ,0    ,0    ," "," "
539941   ,20200831  ,4462    ,31082020  ,2400        ," יקבי רמת הגולן בע""מ",.00    ,48  ,24  ,4      ,25082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      1            רין לא ידוע",25   ,0    ,0    ," "," "
539942   ,20200831  ,4462    ,31082020  ,7000        ," יקבי רמת הגולן בע""מ",.00    ,48  ,24  ,10     ,25082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      1            רין לא ידוע",25   ,0    ,0    ," "," "
539963   ,20200831  ,926790  ,31082020  ,48750       ,"         עמותת נירים",.00    ,48  ,24  ,195    ,27082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"1            סתן הגליל לא ידוע",25   ,0    ,0    ,"1"," "
539972   ,20200831  ,924110  ,31082020  ,74350       ,"גדות מסופים לכימקלים",.00    ,48  ,24  ,127    ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      5             ניה המלאכה",25   ,0    ,0    ," "," "
539979   ,20200831  ,924111  ,31082020  ,9900        ,"גדות אחסון ושינוע שו",.00    ,48  ,24  ,14     ,0         ,83   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      5             ניה המלאכה",25   ,0    ,0    ," "," "
540026   ,20200831  ,910002  ,31082020  ,23400       ,"לשכת המסחר תל אביב-י",.00    ,48  ,24  ,90     ,0         ,32   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"        אביב - יפו נמל תל אביב",25   ,0    ,0    ," "," "
540038   ,20200831  ,924291  ,31082020  ,9000        ,"   תערובת הגליל בע""מ",.00    ,48  ,24  ,26     ,27082020  ,6    ,"כ"," ",0          ,0  ,9  ,"ש","שי",92  ,"               יית מוצקין רש""י",25   ,0    ,0    ," "," "
540040   ,20200831  ,453252  ,31082020  ,60600       ,"         רולדין בע""מ",.00    ,48  ,24  ,202    ,27082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      1              ימה האופה",25   ,0    ,0    ,"1"," "
540041   ,20200831  ,923565  ,31082020  ,61250       ,"-קימברלי קלארק ישראל",.00    ,48  ,24  ,175    ,30082020  ,6    ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"     1            יפין לא ידוע",25   ,0    ,0    ,"2"," "
540046   ,20200831  ,927542  ,31082020  ,5700        ,"אגודה למען הקשיש עכו",.00    ,48  ,24  ,19     ,0         ,7    ,"כ"," ",0          ,0  ,9  ,"ש","שי",92  ,"       10                ו בבל",25   ,0    ,0    ,"2"," "
540052   ,20200831  ,915534  ,31082020  ,10000       ,"    טמפו משקאות בע""מ",.00    ,48  ,24  ,20     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      2        ניה גבורי ישראל",25   ,0    ,0    ," "," "
540053   ,20200831  ,915534  ,31082020  ,10000       ,"    טמפו משקאות בע""מ",.00    ,48  ,24  ,20     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      2        ניה גבורי ישראל",25   ,0    ,0    ," "," "
540054   ,20200831  ,915534  ,31082020  ,10500       ,"    טמפו משקאות בע""מ",.00    ,48  ,24  ,15     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      2        ניה גבורי ישראל",25   ,0    ,0    ," "," "
540055   ,20200831  ,915534  ,31082020  ,28000       ,"    טמפו משקאות בע""מ",.00    ,48  ,24  ,40     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      2        ניה גבורי ישראל",25   ,0    ,0    ," "," "
540059   ,20200831  ,915534  ,31082020  ,18200       ,"    טמפו משקאות בע""מ",.00    ,48  ,24  ,33     ,0         ,84   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      2        ניה גבורי ישראל",25   ,0    ,0    ," "," "
540070   ,20200831  ,903255  ,31082020  ,54600       ,"מבקר המדינה חיפה-ועד",.00    ,48  ,24  ,72     ,0         ,79   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"      12          פה חסן שוקרי",25   ,0    ,0    ," "," "
540071   ,20200831  ,2969    ,31082020  ,9450        ,"   החברה לישראל בע""מ",.00    ,48  ,24  ,30     ,30082020  ,6    ,"כ"," ",0          ,0  ,9  ,"ש","שי",92  ,"             אביב - יפו הארבעה",25   ,0    ,0    ,"1"," "
540074   ,20200831  ,927518  ,31082020  ,7500        ,"          יוניטג בעמ",.00    ,48  ,24  ,13     ,30082020  ,6    ,"כ"," ",0          ,0  ,9  ,"ש","שי",92  ,"         ד נמל תעופה דרך חטיבה",25   ,0    ,0    ," "," "
540080   ,20200831  ,926571  ,31082020  ,243750      ,"      מ.א גליל עליון",.00    ,48  ,24  ,617    ,0         ,30   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"1            יית שמונה לא ידוע",3    ,0    ,0    ," "," "
540105   ,20200831  ,917768  ,31082020  ,400         ,"משקי עמק הירדן אגודה",.00    ,48  ,24  ,1      ,0         ,80   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"      1             ריה העמקים",25   ,0    ,0    ," "," "
540106   ,20200831  ,917768  ,31082020  ,13000       ,"משקי עמק הירדן אגודה",.00    ,48  ,24  ,33     ,0         ,80   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"      1             ריה העמקים",25   ,0    ,0    ," "," "
540109   ,20200831  ,911245  ,31082020  ,10500       ,"     לשכת רואי חשבון",.00    ,48  ,24  ,21     ,25082020  ,32   ,"כ","ח",0          ,0  ,3  ,"ש","שי",92  ,"            יית ביאליק דרך עכו",25   ,0    ,0    ," "," "
540110   ,20200831  ,911245  ,31082020  ,40700       ,"     לשכת רואי חשבון",.00    ,48  ,24  ,98     ,25082020  ,32   ,"כ"," ",0          ,0  ,3  ,"ש","שי",92  ,"     10             ניה המלאכה",25   ,0    ,0    ," "," "
